ChargingReportPlugActivity.java,com.ihs.chargingreport.ChargingReportPlugActivity.onCreate,#9201,3,3
SCApplication.java,com.fasttrack.security.SCApplication$2.onNewinstallAppScanFinished,#9283,3,2
NotificationWindowManager.java,com.fasttrack.security.notification.NotificationWindowManager$2.onFling,#9486,3,3
NotificationCondition.java,com.fasttrack.security.notification.NotificationCondition.createIconsNotificationView,#10031,3,2
BatteryActivity.java,com.fasttrack.security.battery.BatteryActivity.onCreate,#10120,3,1
FlashLightView.java,com.fasttrack.security.view.FlashLightView.decodeBitmapResource,#10122,3,1
MessageLogger.java,android.os.MessageLogger.dump,#10222,3,1
TextResourceReader.java,com.fasttrack.security.opengl.TextResourceReader.readTextFileFromResource,#694,2,2
b,com.facebook.ads.internal.view.b.,#978,2,1
HSNetworkUtils.java,com.ihs.commons.utils.HSNetworkUtils.checkWall,#1034,2,2
Parcel.java,android.os.Parcel.readException,#1206,2,1
SettingLaunchpad.java,com.ihs.device.clean.accessibility.task.SettingLaunchpad.processIntent,#1591,2,2
Utility.java,com.facebook.internal.Utility.invokeMethodQuietly,#1793,2,1
AVLA,com.avl.engine.security.AVLA.initEngine,#1934,2,1
Process.java,android.os.Process.setThreadPriority,#2208,2,1
AcbAdmobBannerAd.java,net.appcloudbox.ads.adadapter.AdmobBannerAdapter.AcbAdmobBannerAd$2.run,#2362,2,1
Parcel.java,android.os.Parcel.readException,#2481,2,1
SafeWindowManager.java,com.fasttrack.security.floatwindow.SafeWindowManager.addView,#2869,2,1
NotificationCleanerGuideView.java,com.fasttrack.security.notificationcleaner.guide.NotificationCleanerGuideView$2.lambda$onAnimationEnd$0,#3384,2,2
SessionMgr.java,com.ihs.app.framework.inner.SessionMgr.com.ihs.app.framework.inner.HomeKeyTracker.startTracker,#3689,2,2
FlurryLogger.java,net.appcloudbox.common.analytics.logger.FlurryLogger$FlurryDBHelper.getFlurryItems,#3768,2,1
AdmobBannerAdapter.java,net.appcloudbox.ads.adadapter.AdmobBannerAdapter.AdmobBannerAdapter$2.run,#4116,2,1
FlashButton.java,com.fasttrack.security.lockscreen.charging.view.FlashButton.drawableToBitmap,#4195,2,2
SecurityDBManager.java,com.fasttrack.security.manager.SecurityDBManager.,#4262,2,1
FlurryLogger.java,net.appcloudbox.common.analytics.logger.FlurryLogger$FlurryDBHelper.getWriteableDB,#4442,2,1
GLSurfaceView.java,android.opengl.GLSurfaceView$EglHelper.throwEglException,#4449,2,1
AppRunningUtils.java,com.ihs.device.common.utils.AppRunningUtils.getRunningAppFromService,#4462,2,1
BoostAnimationManager.java,com.fasttrack.security.boost.BoostAnimationManager.getBoostAppIconDrawables,#5030,2,1
ScanAnimationView.java,com.fasttrack.security.view.ScanAnimationView.,#5297,2,1
g,com.avl.engine.j.g.b,#5758,2,1
AppLockOptionActivity.java,com.fasttrack.security.applock.AppLockOptionActivity.onCreate,#6153,2,1
ResultTransitionUtils.java,com.fasttrack.security.resultpage.util.ResultTransitionUtils.startForNotificationCleaner,#6341,2,2
ResultTransitionUtils.java,com.fasttrack.security.resultpage.util.ResultTransitionUtils.startForVirusScan,#6836,2,2
AcbMapUtils.java,net.appcloudbox.common.utils.AcbMapUtils.getObject,#6837,2,1
MainActivity.java,com.fasttrack.security.MainActivity$11.run,#6909,2,2
SceneDetector.java,com.fasttrack.security.floatwindow.SceneDetector.checkTopApp,#7028,2,2
Config.java,net.appcloudbox.goldeneye.config.Config$2.getNewConfigDataHashCode,#7378,2,1
SessionMgr.java,com.ihs.app.framework.inner.SessionMgr.startSession,#7706,2,2
AudioManagerAndroid.java,org.chromium.media.AudioManagerAndroid.hasUsbAudio,#8219,2,2
Util.java,net.oneplus.odm.common.Util.getVersionCode,#8550,2,1
:com.google.android.gms@11975448,lep.a,#8701,2,1
MessageSecurityUtil.java,com.fasttrack.security.messagesecurity.MessageSecurityUtil.startActivityByPackageName,#9178,2,2
ProtectedAppDatabaseHelper.java,com.fasttrack.security.applock.manager.ProtectedAppDatabaseHelper.fetchProtectInfo,#9195,2,2
:com.google.android.gms@11975446,com.ihs.device.clean.junk.JunkDataManager.e,#9218,2,1
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert$4.onClick,#9327,2,1
Permissions.java,com.superapps.util.Permissions.isFloatWindowAllowed,#9370,2,1
BasePermissionActivity.java,com.fasttrack.security.common.BasePermissionActivity.showDialog,#9377,2,1
SmsNotificationInfo.java,com.messagecenter.notification.SmsNotificationInfo.parseMessageExtras,#9425,2,1
:com.google.android.gms.DynamiteModulesA@11975446,bolts.AppLink.sourceUrl,#9426,2,1
ChargingReportUnplugActivity.java,com.ihs.chargingreport.ChargingReportUnplugActivity.onCreate,#9461,2,2
SCApplication.java,com.fasttrack.security.SCApplication.com.fasttrack.security.lockscreen.LockScreenUtils.initLockScreen,#9480,2,2
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert.com.call.assistant.util.HomeKeyWatcher.startWatch,#9523,2,1
:com.google.android.gms.DynamiteModulesA@11975032,com.airbnb.lottie.ImageLayer.a,#9537,2,1
:com.google.android.gms.DynamiteModulesA@11975436,com.airbnb.lottie.GammaEvaluator.a,#9552,2,2
:com.google.android.gms.DynamiteModulesA@11975030,com.acb.autopilot.inner.data.EventDBHelper.saveMessenger,#9637,2,1
ChargingReportActivity.java,com.ihs.chargingreport.ChargingReportActivity.onCreate,#9698,2,1
:com.google.android.gms.DynamiteModulesA@11975070,com.acb.autopilot.inner.data.EventDBHelper.saveMessenger,#9700,2,1
:com.google.android.gms.DynamiteModulesA@11975032,com.acb.autopilot.inner.data.EventDBHelper.saveMessenger,#9785,2,2
:com.google.android.gms@11975236,com.ihs.device.clean.junk.cache.app.sys.task.SysExternalCacheScanProcessor.d,#9789,2,1
CallLogTask.java,com.call.assistant.task.CallLogTask.doInBackground,#9819,2,1
:com.google.android.gms.DynamiteModulesA@11975448,com.google.android.gms.ads.safebrowsing.d.run,#9949,2,1
SysCacheScanTask.java,com.ihs.device.clean.junk.cache.app.sys.task.SysCacheScanTask$1.run,#10045,2,1
AcbTaskExecutor.java,net.appcloudbox.common.Task.AcbTaskExecutor.onStart,#10049,2,1
MainActivity.java,com.fasttrack.security.MainActivity.setDrawerMenuIcon,#10086,2,2
CardListContent.java,com.fasttrack.security.resultpage.content.CardListContent.initView,#10088,2,1
AndroidHttpRequestEngine.java,com.ihs.commons.connection.httplib.AndroidHttpRequestEngine.setReadTimeout,#10098,2,1
Utils.java,com.fasttrack.security.util.Utils.getDisplayMetrics,#10105,2,2
:com.google.android.gms.DynamiteModulesA@11975034,com.airbnb.lottie.DrawingContent.draw,#10116,2,1
BoostAnimationManager.java,com.fasttrack.security.boost.BoostAnimationManager.startIconAnimation,#10153,2,1
AdUrlGenerator.java,com.mopub.common.AdUrlGenerator.setMncCode,#10159,2,1
SmsMessageAlertActivity.java,com.messagecenter.sms.SmsMessageAlertActivity.onCreate,#10160,2,2
:com.google.android.gms.DynamiteModulesA@11976438,bolts.UnobservedErrorNotifier.task,#10186,2,1
BaseActivity.java,com.ihs.device.clean.junk.cache.app.sys.task.SysExternalCacheScanTask.onCreate,#10250,2,1
SCPackageManager.java,com.fasttrack.security.applock.manager.SCPackageManager.updateInstalledApplicationsOnWorkerThread,#10277,2,1
ScribeEventRecorder.java,com.mopub.common.event.ScribeEventRecorder.dequeueEvents,#10284,2,1
ScanManager.java,com.fasttrack.security.manager.ScanManager.removeApplication,#10285,2,1
VMRuntime.java,dalvik.system.VMRuntime.newNonMovableArray,#48,1,1
CharsetEncoder.java,java.nio.charset.CharsetEncoder.,#269,1,1
CharsetEncoder.java,java.nio.charset.CharsetEncoder.,#350,1,1
GLSurfaceView.java,android.opengl.GLSurfaceView$EglHelper.throwEglException,#575,1,1
p,com.facebook.ads.internal.util.p.a,#744,1,1
